■現在の評価額合計［円］,,"3,006,079"
■評価損益合計,前日比［円］,"-29,861"
,前月比［円］,"409,726"
,評価損益［円］,"644,021"
■特定口座

銘柄コード,銘柄名,保有数量［株］,執行中［株］,(内訳　通常数量[株]),(内訳　積立数量[株]),平均取得価額［円］,取得総額［円］,現在値［円］,現在値（前日比）［円］,時価評価額［円］,評価損益［円］
"1476","Ｉシェアーズ・コアＪリート","50","0","50","0","2,004.88","100,244","2,062.0","5.0","103,100","2,856"
"1719","安藤・間","30","0","30","0","1,562.00","46,860","2,112.0","-5.0","63,360","16,500"
"2269","明治ホールディングス","30","0","30","0","2,966.66","88,999","3,858.0","11.0","115,740","26,740"
"2503","キリンＨＤ","30","0","30","0","1,990.00","59,700","2,638.5","31.5","79,155","19,455"
"2768","双日","14","0","14","0","3,852.00","53,928","6,766.0","-105.0","94,724","40,796"
"2914","日本たばこ産業","10","0","10","0","4,673.00","46,730","5,893.0","-79.0","58,930","12,200"
"3003","ヒューリック","45","0","45","0","1,514.66","68,159","2,038.5","-18.5","91,732","23,572"
"4042","東ソー","30","0","30","0","2,349.00","70,470","2,640.0","-34.0","79,200","8,730"
"4183","三井化学","40","0","40","0","1,902.00","76,080","2,313.5","-43.0","92,540","16,460"
"4205","日本ゼオン","30","0","30","0","1,668.00","50,040","2,032.0","-30.5","60,960","10,920"
"435A","ＩＦ日本配当ローテ","20","0","20","0","2,022.50","40,450","2,425.0","-15.0","48,500","8,050"
"4516","日本新薬","15","0","15","0","3,260.00","48,900","5,015.0","-48.0","75,225","26,325"
"4528","小野薬品","20","0","20","0","1,727.00","34,540","2,617.5","23.0","52,350","17,810"
"5201","ＡＧＣ","15","0","15","0","4,852.00","72,780","6,294.0","-79.0","94,410","21,630"
"5401","日本製鉄","75","0","75","0","643.00","48,225","673.9","-13.7","50,542","2,317"
"5911","横河ブリッジＨＬＤＧＳ","20","0","20","0","2,865.00","57,300","3,200.0","10.0","64,000","6,700"
"6141","ＤＭＧ森精機","20","0","20","0","2,519.00","50,380","2,967.5","-40.5","59,350","8,970"
"6301","小松製作所","11","0","11","0","4,818.00","52,998","7,541.0","-88.0","82,951","29,953"
"7466","ＳＰＫ","30","0","30","0","2,279.00","68,370","2,654.0","33.0","79,620","11,250"
"8058","三菱商事","15","0","15","0","3,460.00","51,900","4,991.0","14.0","74,865","22,965"
"8130","サンゲツ","10","0","10","0","3,147.00","31,470","3,275.0","-5.0","32,750","1,280"
"8306","三菱ＵＦＪフィナンシャルＧ","30","0","30","0","2,337.66","70,129","2,942.0","-67.0","88,260","18,130"
"8424","芙蓉総合リース","15","0","15","0","4,092.00","61,380","4,583.0","-59.0","68,745","7,365"
"8473","ＳＢＩホールディングス","20","0","20","0","2,790.00","55,800","3,355.0","-138.0","67,100","11,300"
"8591","オリックス","15","0","15","0","3,839.00","57,585","5,410.0","-182.0","81,150","23,565"
"8593","三菱ＨＣキャピタル","50","0","50","0","1,227.00","61,350","1,503.5","-35.5","75,175","13,825"
"8725","ＭＳ＆ＡＤ","30","0","30","0","3,180.00","95,400","4,320.0","14.0","129,600","34,200"
"8729","ソニーフィナンシャルグループ","200","0","200","0","153.90","30,780","159.3","-5.5","31,860","1,080"
"8766","東京海上ＨＤ","10","0","10","0","5,503.00","55,030","6,475.0","54.0","64,750","9,720"
"9432","ＮＴＴ","100","0","100","0","150.80","15,080","151.0","-1.5","15,100","20"
"9433","ＫＤＤＩ","25","0","25","0","2,511.00","62,775","2,616.0","-25.0","65,400","2,625"
"9509","北海道電力","30","0","30","0","1,198.00","35,940","1,191.0","-57.5","35,730","-210"
,,,,,,特定口座合計,"1,819,772",,,"2,276,874","457,099"


■NISA成長投資枠

銘柄コード,銘柄名,保有数量［株］,執行中［株］,(内訳　保護預り数量[株]),(内訳　通常数量[株]),(内訳　積立数量[株]),(内訳　共有口座数量[株]),平均取得価額［円］,保護預り平均取得価額［円］,共有口座平均取得価額［円］,取得総額［円］,現在値［円］,現在値（前日比）［円］,時価評価額［円］,評価損益［円］,保護預り評価損益［円］,共有口座評価損益［円］
"1476","Ｉシェアーズ・コアＪリート","3","0","-","3","0","-","1,796.00","-","-","5,388","2,062.0","5.0","6,186","798","-","-"
"1489","ＮＦ日経高配当５０","10","0","-","10","0","-","2,314.00","-","-","23,140","3,291.0","-30.0","32,910","9,770","-","-"
"1605","ＩＮＰＥＸ","25","0","-","25","0","-","1,902.00","-","-","47,550","3,677.0","-42.0","91,925","44,375","-","-"
"1928","積水ハウス","10","0","-","10","0","-","3,208.00","-","-","32,080","3,753.0","-24.0","37,530","5,450","-","-"
"2914","日本たばこ産業","8","0","-","8","0","-","4,205.00","-","-","33,640","5,893.0","-79.0","47,144","13,504","-","-"
"4272","日本化薬","20","0","-","20","0","-","1,323.00","-","-","26,460","1,925.0","-24.5","38,500","12,040","-","-"
"5020","ＥＮＥＯＳホールディングス","30","0","-","30","0","-","694.00","-","-","20,820","1,456.0","1.5","43,680","22,860","-","-"
"8058","三菱商事","10","0","-","10","0","-","2,880.00","-","-","28,800","4,991.0","14.0","49,910","21,110","-","-"
"8306","三菱ＵＦＪフィナンシャルＧ","15","0","-","15","0","-","1,982.00","-","-","29,730","2,942.0","-67.0","44,130","14,400","-","-"
"8316","三井住友フィナンシャルＧ","5","0","-","5","0","-","3,614.00","-","-","18,070","5,963.0","-166.0","29,815","11,745","-","-"
"8593","三菱ＨＣキャピタル","50","0","-","50","0","-","1,012.00","-","-","50,600","1,503.5","-35.5","75,175","24,575","-","-"
"9432","ＮＴＴ","100","0","-","100","0","-","151.80","-","-","15,180","151.0","-1.5","15,100","-80","-","-"
"9433","ＫＤＤＩ","75","0","-","75","0","-","2,555.00","-","-","191,625","2,616.0","-25.0","196,200","4,575","-","-"
"9434","ソフトバンク","100","0","-","100","0","-","192.00","-","-","19,200","210.0","-3.4","21,000","1,800","-","-"
,,,,,,,,,,NISA成長投資枠口座合計,"542,283",,,"729,205","186,922"
